RegionID,RegionName,City,CountyName,Price
71025,30305,Atlanta,Fulton County,457895.7092
71026,30306,Atlanta,Fulton County,515954.3901
71027,30307,Atlanta,Dekalb County,420476.2128
71028,30308,Atlanta,Fulton County,217168.3484
71029,30309,Atlanta,Fulton County,278083.8395
71030,30310,Atlanta,Fulton County,56839.5468
71031,30311,Atlanta,Fulton County,65719.41913
71032,30312,Atlanta,Fulton County,223739.7246
71033,30313,Atlanta,Fulton County,175673.6177
71034,30314,Atlanta,Fulton County,36593.34281
71035,30315,Atlanta,Fulton County,67961.71242
71036,30316,Atlanta,Dekalb County,178015.5546
71037,30317,Atlanta,Dekalb County,251451.3586
71038,30318,Atlanta,Fulton County,153890.5288
71039,30319,Brookhaven,Dekalb County,436064.9516
71043,30324,Atlanta,Fulton County,314009.4341
71045,30326,Atlanta,Fulton County,335020.042
71046,30327,Atlanta,Fulton County,833332.5493
71047,30328,Sandy Springs,Fulton County,327936.0928
71048,30329,Atlanta,Dekalb County,298895.6246
71055,30337,College Park,Fulton County,119415.6295
71056,30338,Dunwoody,Dekalb County,404602.2207
71057,30339,Vinings,Cobb County,284633.8219
71058,30340,Atlanta,Dekalb County,165985.1753
71059,30341,Chamblee,Dekalb County,251026.0057
71060,30342,Sandy Springs,Fulton County,492769.897
71062,30344,East Point,Fulton County,69729.86224
71063,30345,Atlanta,Dekalb County,362114.1184
71064,30346,Dunwoody,Dekalb County,291133.457
71070,30354,Atlanta,Fulton County,65576.01942
71076,30360,Dunwoody,Dekalb County,231526.7809
71079,30363,Atlanta,Fulton County,215758.3754
71023,30303,Atlanta,Fulton County,117174.414
71025,30305,Atlanta,Fulton County,462532.7479
71026,30306,Atlanta,Fulton County,520842.7994
71027,30307,Atlanta,Dekalb County,424922.2395
71028,30308,Atlanta,Fulton County,219314.1952
71029,30309,Atlanta,Fulton County,281145.3255
71030,30310,Atlanta,Fulton County,57256.00258
71031,30311,Atlanta,Fulton County,66300.76209
71032,30312,Atlanta,Fulton County,226988.7028
71033,30313,Atlanta,Fulton County,177681.781
71034,30314,Atlanta,Fulton County,36589.40692
71035,30315,Atlanta,Fulton County,68601.39771
71036,30316,Atlanta,Dekalb County,180824.8487
71037,30317,Atlanta,Dekalb County,254968.6352
71038,30318,Atlanta,Fulton County,156102.2214
71039,30319,Brookhaven,Dekalb County,440459.921
71043,30324,Atlanta,Fulton County,316450.7418
71045,30326,Atlanta,Fulton County,338021.5727
71046,30327,Atlanta,Fulton County,836272.7915
